Hotel_Name,Positive_Review
Hotel Cavendish, The hotel is placed excellently as it is surrounded by 3 tube stations on different lines and is easily in walking distance of The British Museum and not far from Leicester Square either if you don t mind a stroll We even walked to King s Cross Station from the hotel The staff were really helpful and allowed us to leave our luggage in reception the day we arrived whilst we went exploring the city and offered to hold our luggage on the day we left as well Breakfast was pleasant and the staff were happy to assist Our room was situated at the back of the property and so there was little noise considering the road the hotel is on Overall a pleasant stay and I would recommend it to others who are going to London and want a central but budget friendly hotel 
Hotel Cavendish, This property was not up to any standards I did not like anything in this hotel 
Hotel Cavendish, The staff was extremely helpful and accommodating to my requests Excellent 
Hotel Cavendish, The staff were friendly and in a good location Despite being in the town centre it was relatively quiet in the room we were on the top floor 
Hotel Cavendish, Location
Hotel Cavendish, Location Staff were very friendly Room was kept tidy 
Hotel Cavendish, Very central
Hotel Cavendish, The bed was really comfortable 
Hotel Cavendish, The staff were attentive and responded to our requests 
Hotel Cavendish, Pleasant staff at desk
Hotel Cavendish,No Positive
Hotel Cavendish, it was close to Euston Station and easy to get to other areas
Hotel Cavendish, the room is big close to train and tube station good full English breakfast 
Hotel Cavendish, I couldn t find a better location at that price I had the cabin the smallest room I could find and I loved it I didn t need anything more I wish all the hotels had that option The breakfast was ok although I would have liked porridge and they didn t have any The staff was very friendly and helpful I already knew they didn t have a lift so I was prepared with the kind of luggage to carry with me 
Hotel Cavendish, It is a very central location and therefore good for tourists or if like me you go to Camden on nights out it is a fairly affordable option for staying the night instead of a long night bus or night tube journey home Facilities are also pretty good and staff are friendly 
Hotel Cavendish,No Positive
Hotel Cavendish, It was very convenient to two tube stops grocery bookstore British Museum British Library University of London and very walkable to areas around The double room was small but comfortable for one person It could have used a deep clean around the baseboards sill and doors but otherwise was well attended to daily The reception area could use some work as it doesn t leave a good impression but in the end it was fine and the staff were very friendly and helpful I would stay there again 
Hotel Cavendish, Nothing 
Hotel Cavendish, Bed very comfortable and laundry good Breakfast good Service overall very good Location very convenient and places from Regents Park to West End all within 20 mins walk 
Hotel Cavendish, Breakfast 
Hotel Cavendish,No Positive
Hotel Cavendish, Wonderful location friendly staff 
Hotel Cavendish,No Positive
Hotel Cavendish, It was clean and tidy and the room was a nice size It was quiet and the breakfast was quite nice 
Hotel Cavendish, Clean sheet and bed Clean bathroom Good location But do not expect more 
Hotel Cavendish, Location of hotel chosen by us 
Hotel Cavendish, The location was handy and the staff were quite pleasant The bed was comfortable 
Hotel Cavendish,No Positive
Hotel Cavendish, Only the location 
Hotel Cavendish, I was in a cabin room small but had everything I needed Couldn t believe how quiet it was at the back overlooking a bit wild garden Quiet within the hotel too Didn t hear anyone getting up ridiculously early which seems to be my experience in the big chain hotels I had paid 85 for a night in central London including free wifi and decent fresh breakfast Fabulous value 
Hotel Cavendish, The location was great and the hotel staff were lovely The breakfast was also nice 
Hotel Cavendish, Except the location everything was poor 
Hotel Cavendish, Central location
Hotel Cavendish, The breakfast was served efficiently and the location of the hotel was good 
Hotel Cavendish,No Positive
Hotel Cavendish, Staff friendly
Hotel Cavendish, The location is great it s an easy walk to both the Goodge and Warren tube stations I have no comment on the breakfast as I only had toast My room a single was extremely small but that s a warning more than a criticism It s not uncommon for British hotels to have very small rooms 
Hotel Cavendish, We liked the location to central London 
Hotel Cavendish, I visited the Cavendish with my wife last weekend we had a wonderful stay We where greeted by Omar who was very friendly and was always at hand to help and make our stay happy and relaxing and telling us the best places to go locally At breakfast the staff was ensuring we was well fed and comfortable and served a lovely English breakfast although there is a lovely choice if you prefer a choice The hotel is well placed and only a short walk from Euston Station It is within reach of all of London s famous areas to visit within a 20 minute walk or a short walk to an underground station We both found the hotel a comfortable place to stay and it was the the staff made it that way always asking are the rooms ok and comfortable I would recommend this place to stay in London it is ideal for weekend breaks Thank you Omar and the staff you do a great job at making sure our stay was a lovely one regards Ian
