,Hotel,Review,Score
0,Hotel Cavendish, The hotel is placed excellently as it is surrounded by 3 tube stations on different lines and is easily in walking distance of The British Museum and not far from Leicester Square either if you don t mind a stroll We even walked to King s Cross Station from the hotel The staff were really helpful and allowed us to leave our luggage in reception the day we arrived whilst we went exploring the city and offered to hold our luggage on the day we left as well Breakfast was pleasant and the staff were happy to assist Our room was situated at the back of the property and so there was little noise considering the road the hotel is on Overall a pleasant stay and I would recommend it to others who are going to London and want a central but budget friendly hotel ,0.9485
2,Hotel Cavendish, The staff was extremely helpful and accommodating to my requests Excellent ,0.7778
3,Hotel Cavendish, The staff were friendly and in a good location Despite being in the town centre it was relatively quiet in the room we were on the top floor ,0.7845
4,Hotel Cavendish, Location,0
5,Hotel Cavendish, Location Staff were very friendly Room was kept tidy ,0.5413
6,Hotel Cavendish, Very central,0
7,Hotel Cavendish, The bed was really comfortable ,0.5563
8,Hotel Cavendish, The staff were attentive and responded to our requests ,0
9,Hotel Cavendish, Pleasant staff at desk,0.5106
11,Hotel Cavendish, it was close to Euston Station and easy to get to other areas,0.4404
12,Hotel Cavendish, the room is big close to train and tube station good full English breakfast ,0.4404
13,Hotel Cavendish, I couldn t find a better location at that price I had the cabin the smallest room I could find and I loved it I didn t need anything more I wish all the hotels had that option The breakfast was ok although I would have liked porridge and they didn t have any The staff was very friendly and helpful I already knew they didn t have a lift so I was prepared with the kind of luggage to carry with me ,0.9702
14,Hotel Cavendish, It is a very central location and therefore good for tourists or if like me you go to Camden on nights out it is a fairly affordable option for staying the night instead of a long night bus or night tube journey home Facilities are also pretty good and staff are friendly ,0.9287
16,Hotel Cavendish, It was very convenient to two tube stops grocery bookstore British Museum British Library University of London and very walkable to areas around The double room was small but comfortable for one person It could have used a deep clean around the baseboards sill and doors but otherwise was well attended to daily The reception area could use some work as it doesn t leave a good impression but in the end it was fine and the staff were very friendly and helpful I would stay there again ,0.9804
17,Hotel Cavendish, Nothing ,0
18,Hotel Cavendish, Bed very comfortable and laundry good Breakfast good Service overall very good Location very convenient and places from Regents Park to West End all within 20 mins walk ,0.9116
19,Hotel Cavendish, Breakfast ,0
21,Hotel Cavendish, Wonderful location friendly staff ,0.7845
23,Hotel Cavendish, It was clean and tidy and the room was a nice size It was quiet and the breakfast was quite nice ,0.8221
24,Hotel Cavendish, Clean sheet and bed Clean bathroom Good location But do not expect more ,0.5647
25,Hotel Cavendish, Location of hotel chosen by us ,0
26,Hotel Cavendish, The location was handy and the staff were quite pleasant The bed was comfortable ,0.7841
28,Hotel Cavendish, Only the location ,0
29,Hotel Cavendish, I was in a cabin room small but had everything I needed Couldn t believe how quiet it was at the back overlooking a bit wild garden Quiet within the hotel too Didn t hear anyone getting up ridiculously early which seems to be my experience in the big chain hotels I had paid 85 for a night in central London including free wifi and decent fresh breakfast Fabulous value ,0.9186
30,Hotel Cavendish, The location was great and the hotel staff were lovely The breakfast was also nice ,0.8934
32,Hotel Cavendish, Central location,0
33,Hotel Cavendish, The breakfast was served efficiently and the location of the hotel was good ,0.6808
35,Hotel Cavendish, Staff friendly,0.4939
37,Hotel Cavendish, We liked the location to central London ,0.4215
38,Hotel Cavendish, I visited the Cavendish with my wife last weekend we had a wonderful stay We where greeted by Omar who was very friendly and was always at hand to help and make our stay happy and relaxing and telling us the best places to go locally At breakfast the staff was ensuring we was well fed and comfortable and served a lovely English breakfast although there is a lovely choice if you prefer a choice The hotel is well placed and only a short walk from Euston Station It is within reach of all of London s famous areas to visit within a 20 minute walk or a short walk to an underground station We both found the hotel a comfortable place to stay and it was the the staff made it that way always asking are the rooms ok and comfortable I would recommend this place to stay in London it is ideal for weekend breaks Thank you Omar and the staff you do a great job at making sure our stay was a lovely one regards Ian,0.9968
39,Hotel Cavendish, Breakfast The breakfast was very good Full English breakfast eggs at our own likings beans bacon sausage tomato coffee tea toasts jams There s also options for cereals n some fruits n juices Location The location was very good Close distance to all the major tube stations Warren St Station Euston Sq Station and Euston Railway St It s also about 15min walk to this one intersection where there s a lot of good food we ate at Kanada Ya Ramen Bar highly recommended if you like asian noodle soup It s about 10 15min walk from British Museum The bus stop across the street also goes to Trafalgar Sq which we took to get amazing deal on the Lion King Show Staffs The staff made were nice we arrived around 10pm he saw that I was pregnant so he switched us into a bigger room Rooms They clean the room everyday make bed replace towels There s also kettle n tea coffee in the room n some crackers which I believe they were complimentary ,0.9752
40,Hotel Cavendish, good location but otherwise not recommendable ,0.2382
41,Hotel Cavendish, The recepcionist are ok,0.296
42,Hotel Cavendish, Staff were helpful The hotel has all the basics that are needed It is a bit worn looking so if you need updated this may not be for you The English Breakfast was wonderful eggs to order Location was convenient to British Museum and other attractions all within a 20 min walk ,0.7964
43,Hotel Cavendish, Location of the property was good close to transport links Room was comfortable and just what was needed for our stay ,0.7351
44,Hotel Cavendish, The location of this property is great It s convenient to St Pancras Station the British Library the British Museum and many other delights of Bloomsbury For a short stay in which you plan to be out sightseeing all day and evening and only need a place to sleep at night the Hotel Cavendish would be a good base One advantage it has over some of the other Gower Street hotels is that the windows are double paned so that the street noise was reduced There was also a fan in the room which was useful because the room was very close and stuffy The wireless was speedier and more reliable than some other budget hotels I ve stayed in There was very little noise audible through the walls which was a relief as this is sometimes a problem in these older hotels ,0.9485
45,Hotel Cavendish, Good location English breakfast which was very nice Complimentary coffee tea and cookies in the room Friendly staff Wireless Lan was excellent there are routers on every floor and it was very stable ,0.9556
48,Hotel Cavendish, Nothing,0
49,Hotel Cavendish, Bed comfy and clean Great location ,0.7783
50,Hotel Cavendish, Very friendly staff and the girls at breakfast worked quickly and efficiently Good sized room with big bed and comfy sofa Shower room small but good powerful shower ,0.9117
51,Hotel Cavendish, Please make yourself a favor and avoid The photos on booking com has nothing to do with this hotel Old building v small rooms shower not working properly phone in the room not working it was hot in London those days And you could not open the windows very noisy street and rooms are not isolated the TV is old as well On top of that it is not cheap I booked this hotel in a rush and it was a big mistake Never again I believe a lot of hotels in London should be reported They are advertised as 3 or 4 stars and they do not deserve even a star ,0.5055
52,Hotel Cavendish, Located near Oxford str ,0
53,Hotel Cavendish, Location Close yo theatre land about a 10 minute walk Choose a different hotel in this area ,0
54,Hotel Cavendish, location was good staff reasonably helpful ,0.6908
55,Hotel Cavendish, Great location room okay size Nice double bed A little out dated but great value for money Room was very quiet and nice temperature Breakfast nothing special but filling Small english breakfast with your choice of eggs Breakfast room small but we never had to wait for than two minutes Just a short walk to Oxford Street and everything London has to offer ,0.9419
56,Hotel Cavendish, Free wifi,0.5106
58,Hotel Cavendish, Fantastic area very central Good tube links Polite staff ,0.7769
59,Hotel Cavendish, Location Nice staff ,0.4215
