,Hotel,Review,Score
0,Hotel Cavendish, This property was not up to any standards Pillows were so old and should have been replaced long ago The tap on the bathroom sink barely ran water The room was supposed to be for three people and there was literally no room for luggage We had to open one case at a time as there was no room for us to manage all three pieces of luggage The chair opened up to a bed which was so uncomfortable that my grandson had the worst sleeps in the 21 days we were travelling When I went to pay I was told that my credit card had already been charged No where in the eight hotels I had booked for our trip did the hotel charge my credit card without telling me I would not recommend this hotel ,-0.9037
3,Hotel Cavendish, Room was in basement accessed through breakfast room next to kitchen so very noisy View from window was of small dirty broken courtyard pillows so flat may as well not had one Whole place needs an upgrade basement room should be sold as such at reduced rate Luckly only staying one night,-0.7328
4,Hotel Cavendish, Booked this room for just myself single room and it was ridiculously small There are no photos of the single rooms so I didn t know what I was getting into Very overpriced for what I got 100 contemplated moving hotel however no point in wasting all that money Pretty disappointed but oh well ,-0.4854
5,Hotel Cavendish, Very old building staff not having a clue about how to serve customers carpet cleanliness was apalling Doors furnitures bathroom were properly dirty The reception desk staff was robotic and made us unconfortable at the check in They are not interested in give a good impression to customers because the location is central and they can trap a lot of tourists The quality of the breakfast was poor and the table wasn t even completed with pots and cutleries Members of staff in the breakfast room were rude and not helping Outside of the window of the breakfast room there was a gas station with NO SMOKING sign and a builder contractor was smoking at no more than a meter away Also the smell of smoking was coming inside the breakfast room I wouldn t recommend this place to anyone at 115 per night for a triple room The night before a good size rat was calmly scouting the area outside the window ,-0.7952
8,Hotel Cavendish, Cooking smells and noise at 6 30 am Filthy window ledge and scaffold outside my ground level room No lock on the window Safe didn t work When I asked for hangers it was suggested I buy some myself Breakfast had no healthy options I would call it a 2 hotel NOT a 3 or 4 as it rates itself ,-0.1426
10,Hotel Cavendish, The room was a bit dowdy The wash basin tap only had a trickle of water and the wash basin plug was inoperable breakfast facilities very basic,0
11,Hotel Cavendish, the room is not quite clean dust cobweb on the floor not suitable for travelers with big suitcases no lift ,-0.5683
12,Hotel Cavendish, The kettle and the wifi Wifi kept crashing which was very annoying The kettle in my room had some sediment that was floating in it even if I thoroughly rinsed it and so I could not make myself a cuppa ,-0.4576
14,Hotel Cavendish, No A C a bit noisy dark room with view of unmaintained garden kitchen boiler exhaust Location good but expensive in comparison with other hotels that I have preferred No breakfast until 07 30 so not really aiming at business travellers ,-0.5267
16,Hotel Cavendish, This place is the most disgusting hotel I have ever seen in my life If I could have imagined that such places exist I would never have booked a room there Booking com was not explicit about the type of room I was being offered and the price did not indicate what I was going to find on arrival What I was offered was not a room but a cupboard with a tiny bed in a niche overlooking an overgrown dirty backyard with no light and no ventilation There was no space to open my suitcase even I would not call this a room or offer it for 85 This was a disgrace on the part of both the hotel and your website I did not sleep in the room and of course there was no refund This was the first time I used booking com and I think it will be the last Very poor quality hotel no value for money and no explicit information to customers about the disgraceful state of the so called room that was on offer ,-0.9844
